dataset,family,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
naive,FunctionAnalytic,ipron,crt2_plus_core4,crt2_plus_core4_total,0.02828057884774982,0.02576345722400416,-0.022215797311298333,0.07877695500679797,0.27233496972234006,binomial_cluster,103,1.097701236362037,0.4765861970140951,False
naive,FunctionAnalytic,auxverb,crt2_total,crt2_total,-0.0059824590975675095,0.021524952719832065,-0.04817136642843836,0.03620644823330334,0.7810650603129848,binomial_cluster,103,-0.2779313467227994,0.7810650603129848,False
naive,FunctionAnalytic,auxverb,bcrt_core3,bcrt_core3_total,0.0002724171715655504,0.02315943847887069,-0.045120082247021,0.0456649165901521,0.9906149519427268,binomial_cluster,103,0.011762684652915389,0.9906149519427269,False
naive,FunctionAnalytic,auxverb,bcrt_core4,bcrt_core4_total,-0.008258291545474892,0.020527202632656727,-0.04849160870548208,0.03197502561453229,0.6874561593788979,binomial_cluster,103,-0.40230964214952386,0.6874561593788979,False
naive,FunctionAnalytic,auxverb,crt2_plus_core3,crt2_plus_core3_total,-0.0021001533206215445,0.013244042013108498,-0.028058475666314198,0.02385816902507111,0.8740049546573944,binomial_cluster,103,-0.15857344144203747,0.8740049546573944,False
naive,FunctionAnalytic,auxverb,crt2_plus_core4,crt2_plus_core4_total,-0.004756682139289404,0.012324414667825013,-0.02891253488822643,0.01939917060964762,0.6995292345150204,binomial_cluster,103,-0.38595602854126076,0.6995292345150202,False
naive,FunctionAnalytic,conj,crt2_total,crt2_total,-0.0483102883564278,0.021085684645333867,-0.08963823026128218,-0.006982346451573418,0.021955227778848372,binomial_cluster,103,-2.291141557365488,0.1536865944519386,False
naive,FunctionAnalytic,conj,bcrt_core3,bcrt_core3_total,0.018717345506917855,0.026891998235413203,-0.03399097103449203,0.07142566204832773,0.4864168428102046,binomial_cluster,103,0.6960191408264184,0.6809835799342865,False
naive,FunctionAnalytic,conj,bcrt_core4,bcrt_core4_total,0.015462289577435838,0.024889857684230503,-0.033321831483655945,0.06424641063852762,0.5344492736249038,binomial_cluster,103,0.621228525032198,0.6874561593788979,False
naive,FunctionAnalytic,conj,crt2_plus_core3,crt2_plus_core3_total,-0.012013306271741003,0.014480861438282304,-0.04039579469077432,0.016369182147292313,0.4067656164337542,binomial_cluster,103,-0.8295988690273665,0.5694718630072558,False
naive,FunctionAnalytic,conj,crt2_plus_core4,crt2_plus_core4_total,-0.009388390724491758,0.013148592325601897,-0.03515963168267147,0.01638285023368796,0.4752132683832483,binomial_cluster,103,-0.7140224970099216,0.5544154797804564,False
naive,FunctionAnalytic,adj,crt2_total,crt2_total,0.04285969662468479,0.0271558727094556,-0.010365813885848181,0.09608520713521776,0.11450023435461988,binomial_cluster,103,1.5782846341653813,0.3811836625172464,False
naive,FunctionAnalytic,adj,bcrt_core3,bcrt_core3_total,0.07296849626470106,0.03295921074903919,0.008368443196584252,0.13756854933281787,0.026835450849299912,binomial_cluster,103,2.2139030215348288,0.09392407797254969,False
naive,FunctionAnalytic,adj,bcrt_core4,bcrt_core4_total,0.07741079459321697,0.027450449193452936,0.023607914174049213,0.13121367501238473,0.004802077167334794,binomial_cluster,103,2.8200192298375875,0.033614540171343556,True
naive,FunctionAnalytic,adj,crt2_plus_core3,crt2_plus_core3_total,0.03799262532511116,0.017627019417813354,0.0034436672661969855,0.07254158338402533,0.031133439936112832,binomial_cluster,103,2.155362992719967,0.17694430614674084,False
naive,FunctionAnalytic,adj,crt2_plus_core4,crt2_plus_core4_total,0.04064638341281599,0.016295698847461307,0.008706813671791831,0.07258595315384014,0.01262053518540635,binomial_cluster,103,2.494301336401308,0.08834374629784446,False
naive,CognitiveComplexity,insight,crt2_total,crt2_total,-0.0574880543775137,0.05051206824486107,-0.1564917081374414,0.04151559938241399,0.25507650047092834,binomial_cluster,103,-1.138105335517762,0.5612983665456253,False
naive,CognitiveComplexity,insight,bcrt_core3,bcrt_core3_total,-0.06153158996870748,0.05983480604040313,-0.17880780980789762,0.055744629870482655,0.3037815477952751,binomial_cluster,103,-1.028357807780953,0.886799781931969,False
naive,CognitiveComplexity,insight,bcrt_core4,bcrt_core4_total,-0.03872190028673962,0.04719220500273422,-0.13121862209209867,0.05377482151861944,0.41192272421218035,binomial_cluster,103,-0.8205147499358455,0.8154125677366255,False
naive,CognitiveComplexity,insight,crt2_plus_core3,crt2_plus_core3_total,-0.03981669508618021,0.03368680495260034,-0.10584283279327686,0.02620944262091645,0.23721875628155975,binomial_cluster,103,-1.181967097865323,0.7116562688446793,False
naive,CognitiveComplexity,insight,crt2_plus_core4,crt2_plus_core4_total,-0.03144625909778617,0.029564628569406202,-0.08939293109382232,0.026500412898249982,0.28748970596735657,binomial_cluster,103,-1.063644653067859,0.8624691179020697,False
naive,CognitiveComplexity,cause,crt2_total,crt2_total,-0.07824154845378212,0.05524870055985335,-0.1865290015510947,0.03004590464353045,0.15672575736203562,binomial_cluster,103,-1.4161699308931186,0.5612983665456253,False
naive,CognitiveComplexity,cause,bcrt_core3,bcrt_core3_total,-0.04425497926402108,0.0670268671457482,-0.17562763886968755,0.08711768034164538,0.5090887179006706,binomial_cluster,103,-0.6602573139482973,0.886799781931969,False
naive,CognitiveComplexity,cause,bcrt_core4,bcrt_core4_total,-0.03543037827025378,0.05179473844985912,-0.13694806563197767,0.06608730909147009,0.49394130825834226,binomial_cluster,103,-0.684053618777375,0.8154125677366255,False
naive,CognitiveComplexity,cause,crt2_plus_core3,crt2_plus_core3_total,-0.042391069166819194,0.03233451404923848,-0.10576671670332663,0.020984578369688235,0.18985231735222607,binomial_cluster,103,-1.3110161204917676,0.7116562688446793,False
naive,CognitiveComplexity,cause,crt2_plus_core4,crt2_plus_core4_total,-0.03685069968491982,0.028222059691360872,-0.09216593667998713,0.018464537310147487,0.19164065925295548,binomial_cluster,103,-1.3057409731225353,0.8624691179020697,False
naive,CognitiveComplexity,discrep,crt2_total,crt2_total,-0.03298631988087819,0.06546757367277568,-0.16130276427951853,0.09533012451776215,0.6143616050944254,binomial_cluster,103,-0.5038573759545844,0.902326263648711,False
